question_id	question_rank	document_title	paragraph_index
103	5	John_Kerry	0
106	1	Biodiversity	17
106	2	2008_Summer_Olympics_torch_relay	16
106	3	Israel	25
106	4	2008_Summer_Olympics_torch_relay	69
106	5	Mesozoic	5
109	1	Modern_history	6
109	2	Sino-Tibetan_relations_during_the_Ming_dynasty	15
109	3	Sino-Tibetan_relations_during_the_Ming_dynasty	35
109	4	Sino-Tibetan_relations_during_the_Ming_dynasty	59
109	5	Sino-Tibetan_relations_during_the_Ming_dynasty	0
112	1	Southampton	89
112	2	Queen_Victoria	28
112	3	Queen_Victoria	8
112	4	Queen_Victoria	33
112	5	Queen_Victoria	36
115	1	Indigenous_peoples_of_the_Americas	16
115	2	Hunting	34
115	3	Military_history_of_the_United_States	0
115	4	Indigenous_peoples_of_the_Americas	7
115	5	St._John%27s,_Newfoundland_and_Labrador	3
118	1	Nigeria	31
118	2	Nigeria	0
118	3	Nigeria	16
118	4	Nigeria	17
118	5	Nigeria	20
121	1	Zinc	2
121	2	Zinc	6
121	3	Zinc	8
121	4	Zinc	33
121	5	Zinc	21
124	1	Hunting	14
124	2	Hunting	29
124	3	Hunting	17
124	4	Hunting	12
124	5	Hunting	15
127	1	Capacitor	7
127	2	Capacitor	0
127	3	Capacitor	29
127	4	Capacitor	11
127	5	Capacitor	10
130	1	Bird_migration	52
130	2	Bird_migration	37
130	3	Bird_migration	9
130	4	Bird_migration	0
130	5	Bird_migration	55
133	1	Richmond,_Virginia	34
133	2	Richmond,_Virginia	1
133	3	Military_history_of_the_United_States	27
133	4	Richmond,_Virginia	7
133	5	North_Carolina	32
136	1	Hunter-gatherer	23
136	2	Hunter-gatherer	26
136	3	Electric_motor	25
136	4	Hunter-gatherer	25
136	5	Hunter-gatherer	27
139	1	Athanasius_of_Alexandria	0
139	2	Athanasius_of_Alexandria	6
139	3	Athanasius_of_Alexandria	13
139	4	Athanasius_of_Alexandria	27
139	5	Athanasius_of_Alexandria	24
142	1	Alfred_North_Whitehead	6
142	2	Phonology	15
142	3	Classical_music	57
142	4	Comics	16
142	5	Nutrition	1
145	1	Kathmandu	50
145	2	Buddhism	114
145	3	Tibet	11
145	4	Kathmandu	7
145	5	Kathmandu	16
148	1	The_Times	47
148	2	Somerset	6
148	3	The_Times	38
148	4	The_Times	0
148	5	The_Times	1
151	1	American_Idol	58
151	2	American_Idol	38
151	3	Queen_(band)	38
151	4	Neoclassical_architecture	7
151	5	Queen_(band)	56
154	1	Planck_constant	10
154	2	Planck_constant	11
154	3	Hydrogen	7
154	4	Richard_Feynman	17
154	5	History_of_science	11
157	1	Quran	23
157	2	Textual_criticism	6
157	3	Middle_Ages	6
157	4	Late_Middle_Ages	39
157	5	Quran	30
160	1	Airport	22
160	2	North_Carolina	60
160	3	Bermuda	36
160	4	The_Blitz	10
160	5	Airport	1
163	1	Oklahoma	5
163	2	North_Carolina	1
163	3	Oklahoma	6
163	4	Geography_of_the_United_States	6
163	5	Geography_of_the_United_States	5
166	1	Multiracial_American	5
166	2	New_York_City	11
166	3	New_York_City	107
166	4	New_York_City	19
166	5	The_Times	50
169	1	Muammar_Gaddafi	60
169	2	Muammar_Gaddafi	58
169	3	Muammar_Gaddafi	46
169	4	Muammar_Gaddafi	43
169	5	Muammar_Gaddafi	2
172	1	Korean_War	45
172	2	Black_people	16
172	3	Communications_in_Somalia	16
172	4	Dell	39
172	5	The_Blitz	4
175	1	Financial_crisis_of_2007%E2%80%9308	57
175	2	Szlachta	59
175	3	Szlachta	31
175	4	Szlachta	24
175	5	Madonna_(entertainer)	37
178	1	Yale_University	25
178	2	New_Haven,_Connecticut	64
178	3	New_Haven,_Connecticut	10
178	4	New_Haven,_Connecticut	2
178	5	New_Haven,_Connecticut	0
181	1	The_Bronx	4
181	2	The_Bronx	6
181	3	The_Bronx	15
181	4	The_Bronx	0
181	5	New_York_City	35
184	1	Russian_Soviet_Federative_Socialist_Republic	2
184	2	Russian_Soviet_Federative_Socialist_Republic	11
184	3	Russian_Soviet_Federative_Socialist_Republic	14
184	4	Russian_Soviet_Federative_Socialist_Republic	28
184	5	Russian_Soviet_Federative_Socialist_Republic	16
187	1	Catalan_language	20
187	2	Catalan_language	76
187	3	Catalan_language	71
187	4	Catalan_language	32
187	5	Catalan_language	68
190	1	Cotton	15
190	2	Cotton	7
190	3	Cotton	16
190	4	Cotton	17
190	5	Cotton	8
193	1	Plymouth	58
193	2	Turner_Classic_Movies	18
193	3	Protestantism	42
193	4	Plymouth	42
193	5	Christian	9
196	1	Chinese_characters	0
196	2	Nanjing	49
196	3	Zhejiang	35
196	4	Christian	18
196	5	Tibet	5
199	1	San_Diego	29
199	2	San_Diego	3
199	3	San_Diego	39
199	4	San_Diego	27
199	5	San_Diego	6
202	1	Identity_(social_science)	0
202	2	Identity_(social_science)	5
202	3	Idealism	16
202	4	Adolescence	11
202	5	Time	24
205	1	Alexander_Graham_Bell	0
205	2	Alexander_Graham_Bell	33
205	3	Alexander_Graham_Bell	31
205	4	Alexander_Graham_Bell	1
205	5	Alexander_Graham_Bell	39
208	1	Carnival	6
208	2	Heresy	8
208	3	New_Delhi	33
208	4	Presbyterianism	30
208	5	Somerset	25
211	1	High-definition_television	35
211	2	High-definition_television	11
211	3	High-definition_television	12
211	4	High-definition_television	5
211	5	High-definition_television	32
214	1	Brigham_Young_University	9
214	2	Affirmative_action_in_the_United_States	39
214	3	Brigham_Young_University	0
214	4	Brigham_Young_University	30
214	5	Houston	44
217	1	Cubism	30
217	2	Cubism	34
217	3	Cubism	32
217	4	Royal_Institute_of_British_Architects	20
217	5	Architecture	4
220	1	Time	12
220	2	Dominican_Order	27
220	3	Alfred_North_Whitehead	10
220	4	Phonology	15
220	5	Alaska	11
223	1	2008_Summer_Olympics_torch_relay	59
223	2	Gamal_Abdel_Nasser	50
223	3	Hokkien	20
223	4	Dell	40
223	5	Korean_War	45
226	1	Pub	76
226	2	Pub	77
226	3	Saint_Helena	38
226	4	Pub	86
226	5	Pub	51
229	1	Crucifixion_of_Jesus	7
229	2	Crucifixion_of_Jesus	3
229	3	Crucifixion_of_Jesus	14
229	4	Mary_(mother_of_Jesus)	15
229	5	Mary_(mother_of_Jesus)	1
232	1	North_Carolina	9
232	2	North_Carolina	20
232	3	Carnival	5
232	4	Materialism	6
232	5	Carnival	1
235	1	List_of_numbered_streets_in_Manhattan	0
235	2	List_of_numbered_streets_in_Manhattan	3
235	3	List_of_numbered_streets_in_Manhattan	2
235	4	The_Bronx	23
235	5	List_of_numbered_streets_in_Manhattan	1
238	1	Southampton	89
238	2	Queen_Victoria	36
238	3	Queen_Victoria	28
238	4	George_VI	1
238	5	Queen_Victoria	4
241	1	USB	26
241	2	USB	30
241	3	USB	2
241	4	USB	33
241	5	USB	27
244	1	Department_store	22
244	2	British_Isles	22
244	3	University	14
244	4	British_Isles	2
244	5	British_Isles	28
247	1	To_Kill_a_Mockingbird	11
247	2	To_Kill_a_Mockingbird	10
247	3	To_Kill_a_Mockingbird	25
247	4	To_Kill_a_Mockingbird	9
247	5	To_Kill_a_Mockingbird	52
250	1	Plymouth	78
250	2	John_Kerry	3
250	3	Plymouth	79
250	4	Madonna_(entertainer)	4
250	5	John_Kerry	44
253	1	Samurai	14
253	2	Szlachta	0
253	3	Modern_history	7
253	4	Samurai	40
253	5	Samurai	13
256	1	University	12
256	2	Gothic_architecture	34
256	3	Affirmative_action_in_the_United_States	39
256	4	University	11
256	5	University	5
259	1	Planck_constant	20
259	2	Planck_constant	13
259	3	Planck_constant	14
259	4	Planck_constant	21
259	5	Planck_constant	17
262	1	Phonology	5
262	2	Emotion	33
262	3	Group_(mathematics)	6
262	4	Sanskrit	17
262	5	Emotion	39
265	1	Dog	27
265	2	Dog	50
265	3	Dog	47
265	4	Dog	43
265	5	Dog	66
268	1	St._John%27s,_Newfoundland_and_Labrador	22
268	2	Canadian_football	3
268	3	Canadian_football	5
268	4	Presbyterianism	26
268	5	Canadian_Armed_Forces	41
271	1	Mexico_City	0
271	2	Mexico_City	65
271	3	Mexico_City	73
271	4	Mexico_City	14
271	5	Mexico_City	56
274	1	Buddhism	10
274	2	Buddhism	36
274	3	Political_party	3
274	4	Wood	20
274	5	Wood	14
277	1	Alps	78
277	2	Paris	58
277	3	Estonian_language	21
277	4	Himachal_Pradesh	10
277	5	Sexual_orientation	12
280	1	Time	12
280	2	American_Idol	38
280	3	Heresy	7
280	4	Dominican_Order	27
280	5	Alfred_North_Whitehead	10
283	1	Detroit	38
283	2	Detroit	6
283	3	Detroit	39
283	4	Detroit	5
283	5	Detroit	35
286	1	Dutch_Republic	15
286	2	East_India_Company	24
286	3	East_India_Company	30
286	4	Modern_history	10
286	5	Modern_history	9
289	1	Steven_Spielberg	1
289	2	Steven_Spielberg	46
289	3	Steven_Spielberg	20
289	4	Steven_Spielberg	38
289	5	Steven_Spielberg	19
292	1	Raleigh,_North_Carolina	9
292	2	Charleston,_South_Carolina	0
292	3	North_Carolina	0
292	4	Atlantic_City,_New_Jersey	0
292	5	North_Carolina	44
295	1	Antarctica	3
295	2	Biodiversity	20
295	3	Southeast_Asia	11
295	4	Biodiversity	27
295	5	Saint_Barth%C3%A9lemy	10
298	1	Cyprus	40
298	2	Cyprus	12
298	3	Cyprus	20
298	4	Cyprus	2
298	5	Greeks	24
